GeneFusion	Publication	Diagnosis_MM
PICALM::MLLT10	CALM-AF10 is a common fusion transcript in T-ALL and is specific to the TCRgammadelta lineage., Asnafi et al 2003, Blood, 2003, 102:1000-1006, 12676784	Acute lymphoblastic leukemia/lymphoblastic lymphoma
BCR::ABL1,KMT2A::AFF1	Clinico-biologic features and treatment outcome of adult pro-B-ALL patients enrolled in the GIMEMA 0496 study: absence of the ALL1/AF4 and of the BCR/ABL fusion genes correlates with a significantly better clinical outcome., Cimino et al 2003, Blood, 2003, 102:2014-2020, 12791662	Acute lymphoblastic leukemia/lymphoblastic lymphoma
BCL11B::TLX3	t(5;14)/HOX11L2-positive T-cell acute lymphoblastic leukemia. A collaborative study of the Groupe Francais de Cytogenetique Hematologique (GFCH)., Berger et al 2003, Leukemia, 2003, 17:1851-1857, 12970786	Acute lymphoblastic leukemia/lymphoblastic lymphoma
ETV6::RUNX1	Favorable outcome in 20-year follow-up of children with very-low-risk ALL and minimal standard therapy, with special reference to TEL-AML1 fusion., Kanerva et al 2004, Pediatr Blood Cancer, 2004, 42:30-35, 14752791	Acute lymphoblastic leukemia/lymphoblastic lymphoma
BCL11B::TLX3,STIL::TAL1,TRB::TLX1,TRD::TLX1	Clinical significance of HOX11L2 expression linked to t(5;14)(q35;q32), of HOX11 expression, and of SIL-TAL fusion in childhood T-cell malignancies: results of EORTC studies 58881 and 58951., Cave et al 2004, Blood, 2004, 103:442-450, 14504110	Acute lymphoblastic leukemia/lymphoblastic lymphoma
ETV6::RUNX1	Incidence and relevance of secondary chromosome abnormalities in childhood TEL/AML1+ acute lymphoblastic leukemia: an interphase FISH analysis., Attarbaschi et al 2004, Leukemia, 2004, 18:1611-1616, 15356655	Acute lymphoblastic leukemia/lymphoblastic lymphoma
ETV6::RUNX1	Translocation t(12;21) is related to in vitro cellular drug sensitivity to doxorubicin and etoposide in childhood acute lymphoblastic leukemia., Frost et al 2004, Blood, 2004, 104:2452-2457, 15217836	Acute lymphoblastic leukemia/lymphoblastic lymphoma
BCR::ABL1	Early response to induction is predictive of survival in childhood Philadelphia chromosome positive acute lymphoblastic leukaemia: results of the Medical Research Council ALL 97 trial., Roy et al 2005, Br J Haematol, 2005, 129:35-44, 15801953	Acute lymphoblastic leukemia/lymphoblastic lymphoma
ETV6::RUNX1	Equal frequency of TEL/AML1 rearrangements in children with acute lymphoblastic leukemia with and without Down syndrome., Steiner et al 2005, Pediatr Hematol Oncol, 2005, 22:229-234, 16020107	Acute lymphoblastic leukemia/lymphoblastic lymphoma
NUP98::RAP1GDS1	Molecular evaluation of the NUP98/RAP1GDS1 gene frequency in adults with T-acute lymphoblastic leukemia., Cimino et al 2001, Haematologica, 2001, 86:436-437, 11325654	Acute lymphoblastic leukemia/lymphoblastic lymphoma
ETV6::RUNX1	Genetic abnormalities associated with the t(12;21) and their impact in the outcome of 56 patients with B-precursor acute lymphoblastic leukemia., Alvarez et al 2005, Cancer Genet Cytogenet, 2005, 162:21-29, 16157196	Acute lymphoblastic leukemia/lymphoblastic lymphoma
KMT2A::AFF1,KMT2A+	CD10- pre-B acute lymphoblastic leukemia (ALL) is a distinct high-risk subgroup of adult ALL associated with a high frequency of MLL aberrations: results of the German Multicenter Trials for Adult ALL (GMALL)., Gleissner et al 2005, Blood, 2005, 106:4054-4056, 16123216	Acute lymphoblastic leukemia/lymphoblastic lymphoma
ETV6::RUNX1	Incidence of additional genetic changes in the TEL and AML1 genes in DCOG and COALL-treated t(12;21)-positive pediatric ALL, and their relation with drug sensitivity and clinical outcome., Stams et al 2006, Leukemia, 2006, 20:410-416, 16424874	Acute lymphoblastic leukemia/lymphoblastic lymphoma
ETV6::RUNX1	Prospective analysis of TEL/AML1-positive patients treated on Dana-Farber Cancer Institute Consortium Protocol 95-01., Loh et al 2006, Blood, 2006, 107:4508-4513, 16493009	Acute lymphoblastic leukemia/lymphoblastic lymphoma
ETV6::RUNX1	Prognostic significance of TEL/AML1 fusion transcript in childhood B-precursor acute lymphoblastic leukemia., Takahashi et al 1998, J Pediatr Hematol Oncol, 1998, 20:190-195, 9628428	Acute lymphoblastic leukemia/lymphoblastic lymphoma
ETV6::RUNX1	TEL/AML1 fusion resulting from a cryptic t(12;21) is the most common genetic lesion in pediatric ALL and defines a subgroup of patients with an excellent prognosis., Shurtleff et al 1995, Leukemia, 1995, 9:1985-1989, 8609706	Acute lymphoblastic leukemia/lymphoblastic lymphoma
TCF3::PBX1	Poor outcome of adult acute lymphoblastic leukemia patients carrying the (1;19)(q23;p13) translocation., Piccaluga et al 2006, Leuk Lymphoma, 2006, 47:469-472, 16396770	Acute lymphoblastic leukemia/lymphoblastic lymphoma
