GeneFusion	Publication	Diagnosis_MM
NDUFV2::TRIM5	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
NECTIN2::CEACAM19	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
NECTIN2::SOX6	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
NEDD9::GOLGB1	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
NF1::YPEL5	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
NFAT5::PITPNM2	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
NFE2L1::PNPO	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
NFX1::SPINK4	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
NGRN::ZNF710	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
NIPBL::SPEF2	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
NKD2::ICE1	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
NLGN4X::DMD	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
NOL12::STARD3	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
NOL9::ESPN	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
NOTCH2::SEC22B	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
NPTN::ECI1	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
NR2F6::PLVAP	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
NR2F6::UNC13A	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
NSUN5::BAZ1B	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
NTN1::RANGAP1	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
NUDC::IGFN1	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
NUMA1::TBC1D10A	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
NUP188::SPTAN1	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
NUP98::MLXIP	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
NVL::SUSD4	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
NVL::ZPBP2	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
NXN::SLC43A2	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
OLFM2::EXOSC10	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
ORMDL3::PPP1R1B	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
OSBP2::CHD1L	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
OSGIN1::PATZ1	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
OXSR1::DLEC1	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
P2RX5::MAP3K13	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
P3H4::ACLY	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
P4HA1::CFAP70	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PABPC1::ZFPM2	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PABPC1::ZNF706	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PABPC1L::PKIG	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PADI3::EIF4G3	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PAK4::ACP7	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PAPOLA::GSKIP	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PARD3::IL2RA	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PARVA::SPON1	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PAX8::IL36B	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PCMT1::HSP90B1	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PCMT1::SLC22A2	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PCMTD1::ST18	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PDE12::KCNJ4	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PEAK1::ANGPT1	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PEPD::CEBPG	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PEX11A::MESP1	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PEX14::EPHA2	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PEX14::KIF1B	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PFKFB4::UQCRC1	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PGD::RBP7	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PGS1::CXCR5	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PHC2::NLRP4	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PHF21B::WNT7B	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PHF3::ENPP3	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PHF8::FAM120C	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PICK1::MYPOP	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PIGU::CIMIP1	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PIP5K1B::PGM5	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PITPNA::KCNIP4	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PKD1::ZNF598	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PLCB4::MACROD2	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PLEKHF1::SLC35A4	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PLEKHG4B::MELK	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PLEKHG5::DNAJC11	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PLRG1::SRGAP2B	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PLXNB2::TMPRSS6	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PMVK::PYGO2	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PNPLA7::TPRN	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
POC1A::TWF2	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
POLD3::PPME1	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
POLR2B::FIP1L1	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
POU2AF1::BCO2	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PPA2::INTS12	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PPCDC::CLK3	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PPFIA1::CD82	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PPFIBP1::WNT7A	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PPP1CB::PI4KB	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PPP1R16A::MROH1	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PPP1R16A::SLC52A2	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PPP1R1B::GRB7	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PPP1R37::ALOX15B	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PPP1R37::BCL3	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PPP2R1A::ZNF610	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PPP4R1::DPP4	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PPT2::TNF	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PRCC::METTL25B	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PRKRIP1::SH2B2	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PRPF39::FANCM	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PRR14L::CC2D1A	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PRR4::DUSP16	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PRR5L::ITPA	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PRRC2B::PRCD	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PRRG2::AGPAT2	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PRUNE1::PI4KB	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PSAP::PCID2	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PSD4::ACTR3	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PSMB5::HOMEZ	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PSMD8::SPINT2	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PTEN::HECTD2	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PTGR1::PTBP3	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PTGR2::NDUFB2	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PTK2::MKLN1	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PTPN4::CFAP221	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PTPRK::MTRF1L	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PTPRM::ZNF595	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PTPRU::KAZN	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PUM1::NKAIN1	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PVR::ZNF233	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
PXN::GATC	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
RAB11FIP3::PLEC	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
RAB11FIP4::NPLOC4	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
RABL2A::IL1RN	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
RABL2A::IL36G	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
RAD52::RIMKLB	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
RAI1::MED9	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
RAPGEF1::CPNE5	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
RARA::CERS4	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
RARA::PLEKHA6	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
RASAL1::DDX54	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
RASGRP1::CD47	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
RBFA::TXNL4A	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
RBL1::BCAS1	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
RBM28::KMT2C	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
RBMS2::TNFAIP3	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
RCL1::INSL6	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
RCN3::FLT3LG	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
RERE::SLC2A7	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
RFX3::PLGRKT	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
RFXANK::SUGP1	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
RGL2::DAXX	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
RGS12::PDZRN3	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
RGS3::BSPRY	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
RIF1::PDE11A	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
RIMKLB::KMT5A	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
RIT1::TARS2	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
RMDN3::SMIM14	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
RNF115::LIX1L	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
RNF180::CWC27	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
RNF183::CD47	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
RNF213::AKAP8L	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
RNF213::NVL	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
RNF26::FOXR1	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
RNH1::TOLLIP	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
RPL29::ACY1	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
RPLP2::DEAF1	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
RPS29::RPL36AL	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
RPTOR::CD163	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
RPTOR::FAHD2B	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
METTL25B::CTSS	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
RSPRY1::MT4	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
RYR1::ZNF383	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
SAE1::RPA2	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
SAE1::TBKBP1	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
SAMD4B::GMFG	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
SAP30BP::UNK	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
SART3::DAO	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
SASH1::PLN	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
SBNO2::CACNA2D2	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
SCRN2::CBX1	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
SDF4::PPP1R2	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
SEC31A::EIF4G3	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
SEMA3B::GNAI2	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
SENP6::KATNA1	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
SEPTIN9::MGAT5B	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
SETD1A::SRCAP	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
SETD2::KIF9	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
SF1::ZSWIM5	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
SF3A1::PES1	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
SFMBT1::EML1	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
SGPP2::TEN1	Driver fusions and their implications in the development and treatment of human cancers., Gao et al 2018, Cell Rep, 2018, 23:227-238.e3, 29617662	Adenocarcinoma
